#GC Content (%)	Sample	HUMAN (hg38)
1.0	0.0	0.0
2.0	0.0	1.0E-6
3.0	0.0	4.0E-6
4.0	0.0	8.0E-6
5.0	3.8923379327793236E-5	9.0E-6
6.0	1.9461689663896618E-5	1.1000000000000001E-5
7.0	0.0	9.999999999999999E-6
8.0	0.0	8.999999999999999E-6
9.0	0.0	1.5E-5
10.0	0.0	1.4E-5
11.0	0.0	1.9E-5
12.0	0.0	1.8E-5
13.0	1.9461689663896618E-5	2.2E-5
14.0	0.0	2.7E-5
15.0	0.0	2.4E-5
16.0	0.0	2.9E-5
17.0	1.9461689663896618E-5	3.1E-5
18.0	1.9461689663896618E-5	2.9E-5
19.0	5.8385068991689854E-5	5.2E-5
20.0	1.5569351731117294E-4	5.2000000000000004E-5
21.0	9.73084483194831E-5	7.9E-5
22.0	2.140785863028628E-4	8.9E-5
23.0	2.724636552945527E-4	1.49E-4
24.0	5.060039312613122E-4	3.14E-4
25.0	0.0012455481384893836	7.250000000000001E-4
26.0	0.001673705311095109	0.0016470000000000002
27.0	0.0024716345873148707	0.0033309999999999993
28.0	0.003931261312107117	0.0060810000000000005
29.0	0.005098962691940915	0.010195
30.0	0.005896891968160675	0.015575000000000002
31.0	0.007356518692952923	0.021823000000000002
32.0	0.010567697487495864	0.028458
33.0	0.012669559971196698	0.034777999999999996
34.0	0.01607535566237861	0.04072200000000001
35.0	0.01985092345717455	0.046733
36.0	0.025631045287351845	0.052521
37.0	0.03185878597979877	0.058068999999999996
38.0	0.03750267598232878	0.062401
39.0	0.04306871922620322	0.066379
40.0	0.049510538504953	0.062808
41.0	0.055679894128408236	0.055982000000000004
42.0	0.06151840102757721	0.051072
43.0	0.06428196095985055	0.047385000000000004
44.0	0.06521612206371757	0.043885999999999994
45.0	0.06362026351127806	0.040056
46.0	0.0610123970963159	0.036389
47.0	0.05883268785395949	0.031823000000000004
48.0	0.05649728509429188	0.027807000000000002
49.0	0.053383414748068424	0.024214
50.0	0.0454625070548625	0.020522000000000002
51.0	0.03933207481073507	0.017317
52.0	0.023645952941634393	0.014202
53.0	0.019383842905241033	0.011892
54.0	0.01502442442052819	0.009919
55.0	0.010392542280520795	0.008364
56.0	0.007512212210264095	0.007255999999999999
57.0	0.004807037346982465	0.006077
58.0	0.004534573691687913	0.0052759999999999994
59.0	0.0034057956911819082	0.004577
60.0	0.002218632621684215	0.003935
61.0	0.0018683222077340756	0.0033960000000000006
62.0	0.0012844715178171769	0.002891
63.0	8.757760348753478E-4	0.002476
64.0	0.0011093163108421074	0.0020139999999999997
65.0	5.060039312613121E-4	0.0016830000000000003
66.0	5.254656209252087E-4	0.0013750000000000001
67.0	3.892337932779324E-4	0.001061
68.0	3.113870346223459E-4	8.219999999999999E-4
69.0	5.254656209252087E-4	6.300000000000001E-4
70.0	2.7246365529455264E-4	5.039999999999999E-4
71.0	3.892337932779324E-4	4.1E-4
72.0	1.7515520697506957E-4	3.3099999999999997E-4
73.0	1.3623182764727635E-4	2.5900000000000006E-4
74.0	3.8923379327793236E-5	2.26E-4
75.0	0.0	1.9000000000000004E-4
76.0	0.0	1.53E-4
77.0	0.0	1.18E-4
78.0	0.0	8.5E-5
79.0	0.0	4.800000000000001E-5
80.0	0.0	3.9000000000000006E-5
81.0	0.0	3.3E-5
82.0	0.0	2.1000000000000002E-5
83.0	0.0	6.999999999999999E-6
84.0	0.0	4.9999999999999996E-6
85.0	0.0	0.0
86.0	0.0	0.0
87.0	0.0	0.0
88.0	0.0	0.0
89.0	0.0	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	0.0	0.0
93.0	0.0	0.0
94.0	0.0	0.0
95.0	0.0	0.0
96.0	0.0	0.0
97.0	0.0	0.0
98.0	0.0	0.0
99.0	0.0	0.0
100.0	0.0	0.0
