#Coverage (X)	Coverage
1.0	6.813299367842745
2.0	4.2507016981906816
3.0	2.6080696968960098
4.0	1.605487486685064
5.0	1.0575189874974456
6.0	0.7736446156507952
7.0	0.6322620731638864
8.0	0.552725330927359
9.0	0.5024213548798429
10.0	0.4665538303553376
11.0	0.4371323980525119
12.0	0.4127420621178288
13.0	0.3904812075972899
14.0	0.3710573324176778
15.0	0.35338211260767594
16.0	0.3369471978051024
17.0	0.3217735509114874
18.0	0.3081406772806048
19.0	0.29602936091939114
20.0	0.2843373025888667
21.0	0.27334226073433854
22.0	0.2630477291727402
23.0	0.25253483405349186
24.0	0.24332862646318176
25.0	0.23477750954580756
26.0	0.2267329960821769
27.0	0.2190990061069158
28.0	0.2116117564423945
29.0	0.20431666670859272
30.0	0.19758932222467251
31.0	0.19146640806830817
32.0	0.18593045515490303
33.0	0.18021282376153636
34.0	0.17515552376647747
35.0	0.1707323515428243
36.0	0.1662358091638083
37.0	0.16207816702625166
38.0	0.15768294533798155
39.0	0.15369999404654777
40.0	0.15001401719349872
41.0	0.14614985567742167
42.0	0.14290235284812525
43.0	0.13991164556261992
44.0	0.13700304297479704
45.0	0.13412763164772912
46.0	0.13126444867988596
47.0	0.12849559876895
48.0	0.12582457573184058
49.0	0.12344528640774399
50.0	0.12119177449285701
51.0	0.11891031204258695
