#Position (bp)	insert size
3869317.5	4161.631102429459
1.16079515E7	10796.648097195626
1.93465855E7	3914.276286641595
2.70852195E7	4592.096053660235
3.48238535E7	2360.137545796675
4.25624875E7	1606.7102991683375
5.03011215E7	2064.4165358986606
5.80397555E7	3035.9305750930907
6.57783895E7	2414.1853826549655
7.35170235E7	3213.4853630096354
8.12556575E7	2534.774310146777
8.89942915E7	1005.4136879719946
9.67329255E7	3118.2869901200634
1.044715595E8	379.7045716461734
1.122101935E8	3185.5957152029196
1.199488275E8	912.9083545005768
1.276874615E8	1251.5738250973877
1.354260955E8	0.0
1.431647295E8	1124.0183297484336
1.509033635E8	2504.346288758633
1.586419975E8	1297.751776866514
1.663806315E8	1425.7326134758177
1.741192655E8	753.9436607848302
1.818578995E8	393.28016876727685
1.895965335E8	546.7105605268882
1.973351675E8	905.0821316550049
2.050738015E8	382.32074657718925
2.128124355E8	696.0502070671758
2.205510695E8	380.89212569673407
2.282897035E8	466.42181626600524
2.360283375E8	380.9862922245996
2.437669715E8	381.0341242231169
2.482963555E8	380.3383024992909
2.4904395E8	381.4105251167559
2.491474935E8	382.705996131528
2.492273505E8	380.3455447884661
2.493246215E8	385.5484730892526
2.493781395E8	379.40462427745666
2.494193325E8	381.22159841479527
2.49528459E8	382.90100316789864
2.49636853E8	381.3928143712575
2.49678084E8	383.9139167862267
2.525369325E8	3946.7833341370497
2.592442395E8	6912.971309114348
2.669828735E8	6594.61216457768
2.747215075E8	4918.289268555599
2.824601415E8	13316.472998441226
2.901987755E8	5489.666804428686
2.979374095E8	3162.365768713654
3.056760435E8	1653.014284385849
3.134146775E8	5322.350127147287
3.211533115E8	801.9415524556298
3.288919455E8	808.0749265375913
3.366305795E8	2614.8488263009217
3.443692135E8	1497.455283668003
3.521078475E8	4513.758219395159
3.598464815E8	2156.0738963477233
3.675851155E8	1037.9339682399793
3.753237495E8	1206.5725601349088
3.830623835E8	1227.146984528817
3.908010175E8	1121.6290436823945
3.985396515E8	2120.122806744649
4.062782855E8	946.5780269287872
4.140169195E8	716.8264466503458
4.217555535E8	1146.6284806069025
4.294941875E8	1054.0111668174316
4.372328215E8	642.1592559805243
4.449714555E8	380.1609065935466
4.527100895E8	407.482962567253
4.604487235E8	380.2746378884145
4.681873575E8	431.9408318288653
4.759259915E8	408.60446499760803
4.836646255E8	382.60902314680584
4.89713207E8	382.65459023459147
4.91973207E8	384.02118548568853
4.92130842E8	385.2352638352638
4.93740159E8	380.15767995025135
4.991418935E8	6331.605889601326
5.068805275E8	4186.120460013912
5.146191615E8	2835.960634190001
5.223577955E8	2639.096476108398
5.300964295E8	1828.1365596421417
5.378350635E8	2210.4897594385898
5.455736975E8	3467.7242765465085
5.533123315E8	2903.268710881176
5.610509655E8	3393.226114598031
5.687895995E8	1927.3407662430284
5.765282335E8	1000.6094249686273
5.842668675E8	325.82311317798366
5.920055015E8	706.9835825197065
5.997441355E8	1304.8552845363852
6.074827695E8	1548.14880537807
6.152214035E8	686.8895849302152
6.229600375E8	607.9064903901352
6.306986715E8	489.9050732694957
6.384373055E8	997.3972216381976
6.461759395E8	387.7469204002189
6.539145735E8	645.0955902990738
6.616532075E8	539.5451979282468
6.693918415E8	382.4182809371091
6.771304755E8	383.1154646031415
6.848691095E8	380.93558002544046
6.896208635E8	380.92040898695006
6.90580999E8	379.6672301021533
6.93567879E8	5879.9493464332945
7.003463775E8	1329.9658167485768
7.080850115E8	3246.1786591601563
7.158236455E8	783.8701742998212
7.235622795E8	1269.6524117632134
7.313009135E8	1666.2729257173505
7.390395475E8	1218.4701497055423
7.467781815E8	2564.6414245880587
7.545168155E8	2021.550581182314
7.622554495E8	882.2024496385567
7.699940835E8	1599.2913954338853
7.777327175E8	1415.5309906612035
7.854713515E8	1429.3521431752679
7.932099855E8	804.3873966527533
8.009486195E8	724.1298932384342
8.086872535E8	1044.2946502182501
8.164258875E8	427.1726375801563
8.241645215E8	379.5682336414349
8.319031555E8	409.1083144545999
8.396417895E8	380.7000656571662
8.473804235E8	483.47380374668245
8.551190575E8	427.51382823871904
8.628576915E8	380.0234886189166
8.705963255E8	380.432113922242
8.776694475E8	380.37787600017657
8.80978107E8	380.2635923895518
8.81643619E8	382.2170714720989
8.860735935E8	1180.1809904533914
8.938122275E8	3963.5558746861047
9.015508615E8	2894.2512362007
9.092894955E8	379.87036912526054
9.170281295E8	2966.1626260302055
9.247667635E8	1886.308352611061
9.325053975E8	980.2212131777603
9.402440315E8	2440.1896193260372
9.479826655E8	2028.0598068408378
9.557212995E8	2197.5356294090825
9.634599335E8	697.7682223884843
9.711985675E8	941.2558996790896
9.789372015E8	1080.734627750427
9.866758355E8	907.2669648911515
9.944144695E8	696.3916730759371
1.0021531035E9	468.13898618260083
1.0098917375E9	700.9677742596964
1.0176303715E9	786.967673911623
1.0253690055E9	550.16735534961
1.0331076395E9	477.53171604471805
1.0408462735E9	464.26727265985454
1.0485849075E9	445.16346767304304
1.0563235415E9	382.0508682687248
1.0614070395E9	381.9335355943222
1.062667565E9	381.62397973543483
1.065322701E9	4399.494895031727
1.0718008095E9	3062.437539360247
1.0795394435E9	1951.7201839464883
1.0872780775E9	4453.568596974834
1.0950167115E9	2356.770537556876
1.1027553455E9	977.4112185240891
1.1104939795E9	1163.3308410527477
1.1182326135E9	786.0812917155505
1.1259712475E9	2708.853685270456
1.1337098815E9	709.3049170236233
1.1414485155E9	1200.861083288389
1.1491871495E9	1493.3857477101278
1.1569257835E9	379.7875307128432
1.1646644175E9	674.2051231962658
1.1724030515E9	862.0213814447569
1.1801416855E9	380.0856572595148
1.1878803195E9	535.7515507473512
1.1956189535E9	563.6419711560852
1.2033575875E9	380.43939629364905
1.2110962215E9	392.5416308228311
1.2188348555E9	383.28809667012956
1.2265734895E9	381.9149963950973
1.2319813475E9	381.7622118638657
1.2358506645E9	2044.1622765467944
1.2420507575E9	7199.6094123015455
1.2497893915E9	2701.611655384741
1.2575280255E9	2735.130638364289
1.2652666595E9	874.8732809856406
1.2730052935E9	1405.3403056733616
1.2807439275E9	1632.8575215598685
1.2884825615E9	1733.5044671947956
1.2962211955E9	1477.5706887033527
1.3039598295E9	2131.6585649850467
1.3116984635E9	1522.9208523333107
1.3194370975E9	796.9507128474436
1.3271757315E9	445.5340884451374
1.3349143655E9	828.2705449172147
1.3426529995E9	590.4241702172427
1.3503916335E9	479.311109776964
1.3581302675E9	452.7346412218496
1.3658689015E9	494.5542323257444
1.3736075355E9	473.20846517431113
1.3813461695E9	391.60528571507575
1.389040674E9	381.95462774524617
1.392909991E9	382.26774847870183
1.3968234375E9	4078.528815386756
1.4045620715E9	1286.0158337009013
1.4123007055E9	1929.2732827127463
1.4200393395E9	498.4161866942651
1.4277779735E9	987.7083070429277
1.4355166075E9	2150.017809429171
1.4432552415E9	1724.1168793627683
1.4509938755E9	613.3129315005823
1.4587325095E9	992.4985186193322
1.4664711435E9	1333.465533444177
1.4742097775E9	395.25930831418776
1.4819484115E9	628.8280390500329
1.4896870455E9	573.1653036107218
1.4974256795E9	609.7463617682702
1.5051643135E9	379.6727988090174
1.5129029475E9	471.70113420338765
1.5206415815E9	381.3057578613658
1.5283802155E9	381.7866567828021
1.535127015E9	425.9163990709886
1.538996332E9	3160.542559511181
1.5438574835E9	1997.171935510593
1.5515961175E9	684.4299457903026
1.5593347515E9	789.2832401916943
1.5670733855E9	1197.539243605372
1.5748120195E9	1255.7201915273495
1.5825506535E9	1196.7287261066647
1.5902892875E9	0.0
1.5980279215E9	1439.9095583749393
1.6057665555E9	548.6084671897755
1.6135051895E9	616.8734964657009
1.6212438235E9	380.90305973930765
1.6289824575E9	543.1043948353687
1.6367210915E9	647.1366096509526
1.6444597255E9	380.748258669206
1.6521983595E9	628.8816570661688
1.6599369935E9	381.5634832479485
1.6676756275E9	449.85406830370533
1.6739720795E9	383.6338973761732
1.6764192455E9	380.1226309921962
1.6764583035E9	379.1794099939795
1.676565753E9	379.55180365672874
1.6766737005E9	377.9603035610041
1.677988402E9	475.6353839325344
1.6831528955E9	1743.0931477869963
1.6908915295E9	3052.637301156292
1.6986301635E9	1610.7704326661885
1.7063687975E9	1116.6926438175005
1.7141074315E9	1565.8509927857258
1.7218460655E9	369.106046718329
1.7295846995E9	1057.9912472080719
1.7373233335E9	444.5090569173245
1.7450619675E9	381.26832412734063
1.7528006015E9	486.06685479129925
1.7605392355E9	380.8321830966796
1.7682778695E9	660.483141021577
1.7760165035E9	492.29366757752166
1.7837551375E9	522.3453089515773
1.7914937715E9	434.7866701062615
1.7992324055E9	421.8077025958664
1.806796185E9	412.6147625067009
1.810584805E9	383.48937462052214
1.8107596595E9	380.77968281183024
1.8147096735E9	1480.6119559214499
1.8224483075E9	2408.9619776725153
1.8301869415E9	1337.3163367924374
1.8379255755E9	1840.903648438225
1.8456642095E9	1199.0571786332755
1.8534028435E9	1463.6056402938416
1.8611414775E9	381.07256157028036
1.8688801115E9	896.2852732996919
1.8766187455E9	535.0411489115832
1.8843573795E9	1002.0533054135461
1.8920960135E9	516.4530167270291
1.8998346475E9	380.3161483098189
1.9075732815E9	380.3436608423423
1.9153119155E9	380.2723521461863
1.9230505495E9	501.2316476790032
1.9307891835E9	470.3476304292109
1.9385278175E9	394.18661125828186
1.9440813595E9	382.0239646440901
1.9458157425E9	387.50095602294454
1.9480008345E9	2390.863935923249
1.9540050855E9	1776.3682647384715
1.9617437195E9	1787.990926451504
1.9694823535E9	1408.0896915313576
1.9772209875E9	1726.2373289784455
1.9849596215E9	1216.8327586116404
1.9926982555E9	560.0301966253425
2.0004368895E9	1124.1621742656225
2.0081755235E9	919.9425300515169
2.0159141575E9	1108.8825503180865
2.0236527915E9	986.4766824493817
2.0313914255E9	848.0095038946635
2.0391300595E9	601.7717946822664
2.0468686935E9	392.1599800462757
2.0546073275E9	381.9276961658228
2.0623459615E9	382.2711647137415
2.0700845955E9	382.121335999595
2.076547561E9	392.7068685989956
2.080416878E9	0.0
2.0855618635E9	0.0
2.0933004975E9	2262.5265135360182
2.1010391315E9	2666.3656877705107
2.1087777655E9	644.947886199014
2.1165163995E9	698.6062301155392
2.1242550335E9	1326.2486951817198
2.1319936675E9	618.5429030935637
2.1397323015E9	379.69286124633385
2.1474709355E9	558.2846957067766
2.1552095695E9	482.5850524368928
2.1629482035E9	509.4301942385479
2.1706868375E9	445.4207122567124
2.1784254715E9	381.074570422497
2.1861641055E9	380.5214642315805
2.19176948E9	382.4339492840573
2.195638797E9	0.0
2.2016413735E9	0.0
2.2093800075E9	2222.667255264571
2.2171186415E9	1081.125505786249
2.2248572755E9	2209.586114868955
2.2325959095E9	813.9770541935617
2.2403345435E9	379.9805346071339
2.2480731775E9	575.453138945152
2.2558118115E9	668.255583746895
2.2635504455E9	381.31149263206385
2.2712890795E9	381.6458530396316
2.2790277135E9	398.40700569916334
2.2867663475E9	421.5945758120086
2.2945049815E9	382.37077053938407
2.299461777E9	382.86997260088623
2.30065011E9	380.80403257076387
2.300846699E9	380.3912129894938
2.30104802E9	388.5664542607193
2.3012506315E9	378.5927649354548
2.301366714E9	380.21757322175733
2.301405549E9	382.7104377104377
2.3015117315E9	380.4889846743295
2.301620006E9	380.46086956521737
2.303877404E9	0.0
2.3099822495E9	0.0
2.3177208835E9	380.60849484180085
2.3254595175E9	381.04237382213313
2.3331981515E9	755.8032633081787
2.3409367855E9	1197.2369883974372
2.3486754195E9	550.3405485040798
2.3564140535E9	440.49293939313355
2.3641526875E9	642.9946298711283
2.3718913215E9	524.4748208975202
2.3796299555E9	484.32791068198424
2.3873685895E9	381.34666590053723
2.3951072235E9	381.1312232629666
2.4013048025E9	381.63306413923317
2.4038571885E9	380.3304305757136
2.4053982435E9	383.76314514826976
2.4105844915E9	1567.5485024058487
2.4183231255E9	720.5501486838724
2.4260617595E9	1037.6949865478637
2.4338003935E9	816.7232283541152
2.4415390275E9	38215.39844563181
2.4492776615E9	423.0967349223378
2.4570162955E9	458.18815952779954
2.4647549295E9	638.0594793907203
2.4724935635E9	532.9759550017694
2.4802321975E9	385.90186862902954
2.4879708315E9	413.9071346170911
2.493129903E9	383.81436300265307
2.495356037E9	380.924399069527
2.4979355995E9	1706.8719988759506
2.5034480995E9	1719.5728343638139
2.5111867335E9	1211.047033951149
2.5189253675E9	1500.0809026209647
2.5266640015E9	566.3154183665615
2.5344026355E9	652.595124391686
2.5421412695E9	549.2465293327363
2.5498799035E9	381.31351820332014
2.5576185375E9	381.36112685368846
2.5653571715E9	463.912166661024
2.5730958055E9	383.4189471669783
2.57825749E9	383.208104923408
2.579642653E9	380.04394996890335
2.579875868E9	308.67411995241093
2.580072563E9	376.6921275646744
2.5824162975E9	380.8594408945687
2.5885730735E9	561.3124425697742
2.5963117075E9	380.4105575017007
2.6040503415E9	449.9367749973343
2.6117889755E9	380.1755893732267
2.6195276095E9	396.0020735913332
2.6272662435E9	381.4602317882688
2.6350048775E9	485.2940080736656
2.6427435115E9	449.8152075729808
2.6504821455E9	380.0079796431355
2.657426793E9	381.6626539902571
2.66129611E9	2721.371993410214
2.6659594135E9	1452.9460263727613
2.6736980475E9	1295.7749985686476
2.6814366815E9	1124.8159542836504
2.6891753155E9	438.8435920568862
2.6969139495E9	483.37364863535936
2.7046525835E9	394.1550045644453
2.7123912175E9	382.7346136504537
2.717690137E9	382.18961101882616
2.721559454E9	1227.8218124754806
2.7278684855E9	529.9011343841611
2.7356071195E9	602.4583265150276
2.7433457535E9	462.0483111905178
2.7510843875E9	499.5405102123538
2.7588230215E9	398.3716781750415
2.7665616555E9	585.6797968802109
2.7743002895E9	381.7055080071071
2.7808667565E9	382.78808743969944
2.7847360735E9	0.0
2.7897775575E9	440.1691073992073
2.7975161915E9	377.8946483252461
2.8052548255E9	379.67606040057893
2.8129934595E9	380.6191697848083
2.8207320935E9	381.47082992852785
2.82743765E9	382.8859364873623
2.831306967E9	0.0
2.8362093615E9	0.0
2.8439479955E9	379.5597830025072
2.8516866295E9	382.7360606781769
2.8594252635E9	501.49580403579404
2.8671638975E9	382.65686054201205
2.8749025315E9	388.68415460963166
2.879932103E9	383.34820963880503
2.8811677345E9	382.1902373788031
2.881263883E9	381.17599316531397
2.8813745405E9	384.02036999595634
2.8815469515E9	383.08370249475405
2.881650882E9	321.3138713276311
2.8817632475E9	497.26396616959715
2.8819061265E9	352.3126483553747
2.882007733E9	394.2741236707365
2.882094413E9	374.45454545454544
2.88213969E9	392.7820085957111
2.8843292285E9	382.0181201463894
2.8903797995E9	3207.0405597684166
2.8981184335E9	1129.561908816514
2.9058570675E9	947.3743076972329
2.9135957015E9	2426.2062118021145
2.9213343355E9	743.3641067370016
2.9290729695E9	1929.5078923855851
2.9368116035E9	1402.021403822817
2.9445502375E9	640.4664999497485
2.9522888715E9	785.0350393304316
2.9600275055E9	379.9182770082238
2.9677661395E9	379.6933485221802
2.9755047735E9	799.9770196974022
2.9832434075E9	501.6141889688865
