#Coverage	Number of genomic locations
0.0	5.334378E7
1.0	1466933.0
2.0	940308.0
3.0	573918.0
4.0	313679.0
5.0	162501.0
6.0	80933.0
7.0	45530.0
8.0	28796.0
9.0	20532.0
10.0	16842.0
11.0	13962.0
12.0	12743.0
13.0	11119.0
14.0	10118.0
15.0	9408.0
16.0	8686.0
17.0	7804.0
18.0	6933.0
19.0	6693.0
20.0	6294.0
21.0	5893.0
22.0	6018.0
23.0	5270.0
24.0	4895.0
25.0	4605.0
26.0	4370.0
27.0	4286.0
28.0	4176.0
29.0	3851.0
30.0	3505.0
31.0	3169.0
32.0	3273.0
33.0	2895.0
34.0	2532.0
35.0	2574.0
36.0	2380.0
37.0	2516.0
38.0	2280.0
39.0	2110.0
40.0	2212.0
41.0	1859.0
42.0	1712.0
43.0	1665.0
44.0	1646.0
45.0	1639.0
46.0	1585.0
47.0	1529.0
48.0	1362.0
49.0	1290.0
50.0	1306.0
51.0	1201.0
52.0	1114.0
53.0	1051.0
54.0	1138.0
55.0	928.0
56.0	857.0
57.0	808.0
58.0	843.0
59.0	763.0
60.0	806.0
61.0	711.0
62.0	602.0
63.0	780.0
64.0	643.0
65.0	662.0
66.0	613.0
67.0	643.0
68.0	616.0
69.0	617.0
70.0	541.0
71.0	557.0
72.0	535.0
73.0	446.0
74.0	444.0
75.0	524.0
76.0	433.0
77.0	492.0
78.0	420.0
79.0	493.0
80.0	512.0
81.0	477.0
82.0	440.0
83.0	407.0
84.0	468.0
85.0	342.0
86.0	401.0
87.0	364.0
88.0	374.0
89.0	378.0
90.0	387.0
91.0	371.0
92.0	359.0
93.0	328.0
94.0	341.0
95.0	328.0
96.0	336.0
97.0	299.0
98.0	342.0
99.0	260.0
100.0	254.0
101.0	276.0
102.0	321.0
103.0	297.0
104.0	281.0
105.0	298.0
106.0	305.0
107.0	318.0
108.0	248.0
109.0	249.0
110.0	261.0
111.0	244.0
112.0	259.0
113.0	214.0
114.0	234.0
115.0	201.0
116.0	202.0
117.0	209.0
118.0	200.0
119.0	223.0
120.0	173.0
121.0	158.0
122.0	198.0
123.0	155.0
124.0	176.0
125.0	164.0
126.0	163.0
127.0	189.0
128.0	167.0
129.0	172.0
130.0	131.0
131.0	148.0
132.0	154.0
133.0	152.0
134.0	137.0
135.0	108.0
136.0	129.0
137.0	136.0
138.0	155.0
139.0	152.0
140.0	135.0
141.0	179.0
142.0	131.0
143.0	140.0
144.0	141.0
145.0	124.0
146.0	105.0
147.0	135.0
148.0	112.0
149.0	107.0
150.0	89.0
151.0	94.0
152.0	103.0
153.0	80.0
154.0	103.0
155.0	81.0
156.0	94.0
157.0	84.0
158.0	91.0
159.0	94.0
160.0	113.0
161.0	110.0
162.0	106.0
163.0	114.0
164.0	89.0
165.0	96.0
166.0	102.0
167.0	95.0
168.0	90.0
169.0	83.0
170.0	106.0
171.0	72.0
172.0	75.0
173.0	96.0
174.0	100.0
175.0	148.0
176.0	99.0
177.0	90.0
178.0	80.0
179.0	67.0
180.0	105.0
181.0	74.0
182.0	99.0
183.0	80.0
184.0	68.0
185.0	74.0
186.0	77.0
187.0	74.0
188.0	71.0
189.0	61.0
190.0	62.0
191.0	45.0
192.0	75.0
193.0	62.0
194.0	57.0
195.0	58.0
196.0	95.0
197.0	60.0
198.0	61.0
199.0	47.0
200.0	55.0
201.0	57.0
202.0	55.0
203.0	67.0
204.0	62.0
205.0	58.0
206.0	47.0
207.0	51.0
208.0	71.0
209.0	34.0
210.0	45.0
211.0	41.0
212.0	50.0
213.0	53.0
214.0	37.0
215.0	24.0
216.0	43.0
217.0	37.0
218.0	35.0
219.0	51.0
220.0	39.0
221.0	43.0
222.0	52.0
223.0	53.0
224.0	46.0
225.0	40.0
226.0	36.0
227.0	28.0
228.0	31.0
229.0	43.0
230.0	31.0
231.0	43.0
232.0	37.0
233.0	40.0
234.0	50.0
235.0	40.0
236.0	33.0
237.0	28.0
238.0	41.0
239.0	35.0
240.0	35.0
241.0	31.0
242.0	36.0
243.0	33.0
244.0	51.0
245.0	24.0
246.0	27.0
247.0	19.0
248.0	31.0
249.0	21.0
250.0	21.0
251.0	30.0
252.0	32.0
253.0	36.0
254.0	37.0
255.0	31.0
256.0	19.0
257.0	26.0
258.0	25.0
259.0	33.0
