#Coverage	Number of genomic locations
260.0	47.0
261.0	29.0
262.0	27.0
263.0	29.0
264.0	36.0
265.0	36.0
266.0	45.0
267.0	54.0
268.0	39.0
269.0	79.0
270.0	34.0
271.0	41.0
272.0	53.0
273.0	35.0
274.0	30.0
275.0	36.0
276.0	35.0
277.0	41.0
278.0	28.0
279.0	26.0
280.0	26.0
281.0	21.0
282.0	18.0
283.0	27.0
284.0	19.0
285.0	26.0
286.0	21.0
287.0	27.0
288.0	27.0
289.0	27.0
290.0	37.0
291.0	24.0
292.0	36.0
293.0	31.0
294.0	26.0
295.0	41.0
296.0	36.0
297.0	16.0
298.0	27.0
299.0	26.0
300.0	22.0
301.0	28.0
302.0	32.0
303.0	27.0
304.0	29.0
305.0	26.0
306.0	29.0
307.0	34.0
308.0	28.0
309.0	17.0
310.0	15.0
311.0	15.0
312.0	20.0
313.0	16.0
314.0	16.0
315.0	15.0
316.0	25.0
317.0	17.0
318.0	17.0
319.0	16.0
320.0	15.0
321.0	20.0
322.0	13.0
323.0	20.0
324.0	17.0
325.0	14.0
326.0	16.0
327.0	29.0
328.0	22.0
329.0	17.0
330.0	25.0
331.0	20.0
332.0	27.0
333.0	35.0
334.0	24.0
335.0	30.0
336.0	23.0
337.0	23.0
338.0	13.0
339.0	15.0
340.0	15.0
341.0	24.0
342.0	13.0
343.0	26.0
344.0	31.0
345.0	30.0
346.0	21.0
347.0	32.0
348.0	20.0
349.0	20.0
350.0	32.0
351.0	15.0
352.0	36.0
353.0	19.0
354.0	29.0
355.0	32.0
356.0	18.0
357.0	14.0
358.0	16.0
359.0	22.0
360.0	20.0
361.0	15.0
362.0	15.0
363.0	31.0
364.0	13.0
365.0	23.0
366.0	12.0
367.0	14.0
368.0	13.0
369.0	28.0
370.0	18.0
371.0	11.0
372.0	9.0
373.0	34.0
374.0	13.0
375.0	14.0
376.0	12.0
377.0	46.0
378.0	13.0
379.0	20.0
380.0	22.0
381.0	21.0
382.0	15.0
383.0	10.0
384.0	10.0
385.0	25.0
386.0	12.0
387.0	8.0
388.0	13.0
389.0	8.0
390.0	12.0
391.0	15.0
392.0	11.0
393.0	8.0
394.0	14.0
395.0	11.0
396.0	7.0
397.0	11.0
398.0	8.0
399.0	7.0
400.0	5.0
401.0	10.0
402.0	6.0
403.0	16.0
404.0	12.0
405.0	7.0
406.0	6.0
407.0	13.0
408.0	7.0
409.0	19.0
410.0	6.0
411.0	16.0
412.0	6.0
413.0	18.0
414.0	20.0
415.0	3.0
416.0	7.0
417.0	10.0
418.0	10.0
419.0	11.0
420.0	15.0
421.0	8.0
422.0	6.0
423.0	9.0
424.0	7.0
425.0	4.0
426.0	8.0
427.0	13.0
428.0	12.0
429.0	12.0
430.0	12.0
431.0	9.0
432.0	9.0
433.0	11.0
434.0	12.0
435.0	6.0
436.0	17.0
437.0	13.0
438.0	10.0
439.0	14.0
440.0	14.0
441.0	15.0
442.0	13.0
443.0	13.0
444.0	13.0
445.0	27.0
446.0	19.0
447.0	13.0
448.0	8.0
449.0	8.0
450.0	10.0
451.0	14.0
452.0	11.0
453.0	11.0
454.0	10.0
455.0	14.0
456.0	5.0
457.0	3.0
458.0	7.0
459.0	4.0
460.0	3.0
461.0	14.0
462.0	4.0
463.0	5.0
464.0	11.0
465.0	10.0
466.0	18.0
467.0	8.0
468.0	11.0
469.0	6.0
470.0	3.0
471.0	13.0
472.0	5.0
473.0	15.0
474.0	12.0
475.0	14.0
476.0	7.0
477.0	5.0
478.0	9.0
479.0	5.0
480.0	5.0
481.0	13.0
482.0	6.0
483.0	8.0
484.0	5.0
485.0	2.0
486.0	11.0
487.0	6.0
488.0	11.0
489.0	5.0
490.0	15.0
491.0	10.0
492.0	22.0
493.0	14.0
494.0	5.0
495.0	9.0
496.0	14.0
497.0	6.0
498.0	12.0
499.0	11.0
500.0	4.0
501.0	5.0
502.0	8.0
503.0	8.0
504.0	6.0
505.0	4.0
506.0	6.0
507.0	5.0
508.0	12.0
509.0	6.0
510.0	14.0
511.0	6.0
512.0	35.0
513.0	12.0
514.0	2.0
515.0	2.0
516.0	4.0
517.0	4.0
518.0	6.0
519.0	6.0
520.0	6.0
521.0	8.0
522.0	9.0
523.0	7.0
524.0	5.0
525.0	6.0
526.0	8.0
527.0	4.0
528.0	5.0
529.0	7.0
530.0	4.0
531.0	2.0
532.0	4.0
533.0	5.0
534.0	3.0
535.0	8.0
536.0	5.0
537.0	18.0
538.0	9.0
539.0	15.0
540.0	9.0
541.0	9.0
542.0	13.0
543.0	14.0
544.0	7.0
545.0	13.0
546.0	4.0
547.0	4.0
548.0	2.0
549.0	8.0
550.0	3.0
551.0	1.0
552.0	2.0
553.0	6.0
554.0	4.0
555.0	5.0
556.0	5.0
557.0	1.0
558.0	3.0
559.0	3.0
560.0	4.0
561.0	2.0
562.0	1.0
563.0	1.0
564.0	4.0
565.0	3.0
566.0	1.0
567.0	8.0
568.0	2.0
569.0	4.0
570.0	4.0
571.0	3.0
572.0	8.0
573.0	2.0
574.0	6.0
575.0	4.0
576.0	2.0
577.0	1.0
578.0	2.0
579.0	5.0
580.0	3.0
581.0	4.0
582.0	4.0
583.0	3.0
584.0	2.0
585.0	5.0
586.0	3.0
587.0	4.0
588.0	9.0
589.0	4.0
590.0	5.0
591.0	4.0
592.0	1.0
593.0	3.0
594.0	6.0
595.0	4.0
596.0	4.0
597.0	6.0
598.0	5.0
599.0	3.0
600.0	3.0
601.0	8.0
602.0	9.0
603.0	5.0
604.0	8.0
605.0	3.0
606.0	5.0
607.0	3.0
608.0	6.0
609.0	3.0
610.0	7.0
611.0	1.0
612.0	7.0
613.0	7.0
614.0	8.0
615.0	10.0
616.0	7.0
617.0	7.0
618.0	6.0
619.0	9.0
620.0	8.0
621.0	12.0
622.0	6.0
623.0	1.0
624.0	6.0
625.0	3.0
626.0	4.0
627.0	4.0
628.0	9.0
629.0	2.0
630.0	7.0
631.0	12.0
632.0	3.0
633.0	7.0
634.0	10.0
635.0	8.0
636.0	7.0
637.0	7.0
638.0	7.0
639.0	11.0
640.0	9.0
641.0	5.0
642.0	12.0
643.0	3.0
644.0	14.0
645.0	6.0
646.0	10.0
647.0	11.0
648.0	10.0
649.0	2.0
650.0	9.0
651.0	3.0
652.0	2.0
653.0	6.0
654.0	5.0
655.0	4.0
656.0	5.0
657.0	4.0
658.0	7.0
659.0	4.0
660.0	7.0
661.0	3.0
662.0	7.0
663.0	11.0
664.0	3.0
665.0	5.0
666.0	12.0
667.0	5.0
668.0	7.0
669.0	3.0
670.0	3.0
672.0	3.0
674.0	2.0
675.0	3.0
676.0	4.0
677.0	3.0
678.0	5.0
679.0	8.0
680.0	3.0
681.0	2.0
682.0	4.0
683.0	3.0
684.0	3.0
685.0	2.0
686.0	5.0
687.0	9.0
688.0	5.0
689.0	5.0
690.0	2.0
691.0	3.0
692.0	1.0
693.0	1.0
694.0	3.0
695.0	6.0
697.0	4.0
698.0	5.0
699.0	7.0
700.0	3.0
701.0	3.0
702.0	4.0
703.0	4.0
704.0	1.0
705.0	8.0
706.0	4.0
707.0	4.0
708.0	4.0
709.0	5.0
710.0	5.0
711.0	8.0
712.0	4.0
713.0	5.0
714.0	3.0
715.0	2.0
716.0	4.0
717.0	8.0
718.0	6.0
719.0	6.0
720.0	3.0
721.0	3.0
722.0	2.0
723.0	5.0
724.0	3.0
725.0	5.0
726.0	6.0
727.0	3.0
728.0	12.0
729.0	5.0
730.0	9.0
731.0	5.0
732.0	6.0
733.0	4.0
734.0	6.0
735.0	5.0
737.0	5.0
738.0	4.0
739.0	2.0
740.0	4.0
741.0	7.0
742.0	1.0
743.0	4.0
744.0	1.0
745.0	2.0
746.0	2.0
747.0	3.0
748.0	4.0
749.0	2.0
750.0	4.0
752.0	3.0
753.0	3.0
754.0	4.0
755.0	2.0
756.0	5.0
757.0	1.0
758.0	4.0
759.0	3.0
760.0	3.0
761.0	1.0
762.0	2.0
763.0	2.0
764.0	1.0
765.0	1.0
766.0	3.0
767.0	2.0
768.0	1.0
770.0	3.0
771.0	3.0
772.0	5.0
773.0	1.0
774.0	2.0
775.0	5.0
776.0	3.0
777.0	2.0
778.0	4.0
779.0	1.0
780.0	2.0
781.0	2.0
782.0	2.0
783.0	3.0
784.0	3.0
786.0	3.0
787.0	3.0
788.0	2.0
789.0	3.0
790.0	1.0
791.0	2.0
792.0	1.0
793.0	6.0
794.0	3.0
795.0	3.0
796.0	2.0
797.0	5.0
799.0	4.0
800.0	3.0
801.0	4.0
802.0	7.0
803.0	8.0
804.0	9.0
805.0	6.0
806.0	4.0
807.0	1.0
808.0	3.0
809.0	4.0
810.0	3.0
811.0	2.0
812.0	1.0
813.0	4.0
814.0	3.0
815.0	5.0
816.0	2.0
817.0	3.0
818.0	2.0
819.0	4.0
820.0	6.0
821.0	4.0
822.0	3.0
823.0	2.0
824.0	2.0
825.0	3.0
826.0	8.0
827.0	7.0
828.0	1.0
829.0	2.0
830.0	4.0
831.0	6.0
832.0	4.0
833.0	4.0
834.0	3.0
835.0	5.0
836.0	2.0
837.0	4.0
838.0	7.0
839.0	4.0
840.0	5.0
841.0	6.0
842.0	4.0
843.0	2.0
844.0	5.0
845.0	5.0
846.0	1.0
847.0	6.0
848.0	2.0
849.0	2.0
850.0	4.0
851.0	1.0
854.0	2.0
855.0	4.0
856.0	2.0
857.0	1.0
858.0	2.0
859.0	1.0
860.0	1.0
861.0	3.0
862.0	3.0
863.0	3.0
864.0	1.0
865.0	3.0
866.0	2.0
867.0	3.0
868.0	2.0
869.0	3.0
871.0	3.0
872.0	3.0
873.0	3.0
874.0	1.0
875.0	3.0
876.0	3.0
877.0	3.0
878.0	1.0
879.0	5.0
880.0	3.0
881.0	1.0
882.0	3.0
883.0	4.0
884.0	3.0
885.0	6.0
886.0	7.0
887.0	3.0
888.0	3.0
889.0	3.0
890.0	5.0
891.0	4.0
892.0	2.0
893.0	1.0
894.0	4.0
895.0	4.0
896.0	4.0
897.0	5.0
898.0	2.0
899.0	2.0
900.0	4.0
901.0	4.0
902.0	2.0
903.0	4.0
904.0	1.0
905.0	3.0
906.0	2.0
907.0	4.0
908.0	9.0
909.0	4.0
910.0	2.0
911.0	2.0
912.0	8.0
913.0	1.0
914.0	2.0
915.0	3.0
916.0	4.0
917.0	2.0
918.0	1.0
919.0	3.0
920.0	4.0
921.0	4.0
922.0	5.0
924.0	12.0
925.0	1.0
926.0	1.0
927.0	5.0
928.0	6.0
929.0	1.0
930.0	3.0
931.0	3.0
932.0	4.0
933.0	4.0
934.0	4.0
935.0	3.0
936.0	3.0
937.0	3.0
938.0	4.0
939.0	3.0
941.0	4.0
942.0	5.0
943.0	2.0
944.0	3.0
945.0	1.0
946.0	1.0
947.0	6.0
948.0	6.0
949.0	4.0
950.0	5.0
951.0	3.0
952.0	2.0
953.0	1.0
954.0	1.0
955.0	4.0
956.0	5.0
958.0	3.0
959.0	1.0
960.0	2.0
961.0	3.0
962.0	6.0
963.0	3.0
964.0	4.0
965.0	4.0
966.0	4.0
967.0	6.0
968.0	4.0
969.0	1.0
970.0	4.0
971.0	1.0
973.0	2.0
974.0	3.0
975.0	1.0
977.0	3.0
978.0	1.0
979.0	1.0
980.0	1.0
981.0	1.0
982.0	2.0
983.0	2.0
984.0	1.0
985.0	1.0
986.0	3.0
987.0	2.0
989.0	3.0
990.0	3.0
991.0	1.0
992.0	3.0
993.0	4.0
994.0	1.0
995.0	2.0
996.0	4.0
997.0	4.0
998.0	5.0
999.0	5.0
1000.0	1.0
1001.0	3.0
1002.0	2.0
1003.0	2.0
1005.0	2.0
1006.0	2.0
1008.0	2.0
1009.0	2.0
1011.0	1.0
1012.0	1.0
1013.0	3.0
1014.0	2.0
1015.0	2.0
1016.0	5.0
1017.0	2.0
1018.0	4.0
1019.0	2.0
1020.0	1.0
1021.0	3.0
1022.0	1.0
1023.0	2.0
1024.0	3.0
1025.0	2.0
1026.0	2.0
1028.0	5.0
1029.0	4.0
1030.0	1.0
1031.0	1.0
1032.0	3.0
1033.0	3.0
1034.0	4.0
1035.0	21.0
1036.0	4.0
1038.0	2.0
1039.0	2.0
1040.0	3.0
1042.0	2.0
1043.0	2.0
1044.0	2.0
1045.0	5.0
1046.0	3.0
1047.0	2.0
1048.0	1.0
1049.0	1.0
1050.0	5.0
1052.0	2.0
1055.0	2.0
1056.0	1.0
1057.0	1.0
1059.0	3.0
1060.0	4.0
1061.0	1.0
1062.0	3.0
1063.0	1.0
1064.0	1.0
1065.0	1.0
1067.0	1.0
1068.0	2.0
1069.0	2.0
1070.0	2.0
1071.0	2.0
1072.0	1.0
1073.0	3.0
1074.0	2.0
1075.0	2.0
1077.0	4.0
1079.0	2.0
1080.0	3.0
1081.0	1.0
1082.0	2.0
1084.0	3.0
1085.0	1.0
1087.0	2.0
1088.0	2.0
1089.0	1.0
1091.0	5.0
1092.0	3.0
1093.0	2.0
1094.0	3.0
1095.0	3.0
1096.0	2.0
1097.0	2.0
1098.0	2.0
1100.0	3.0
1101.0	3.0
1102.0	1.0
1103.0	3.0
1104.0	1.0
1105.0	4.0
1106.0	2.0
1107.0	4.0
1108.0	2.0
1109.0	1.0
1110.0	1.0
1111.0	1.0
1112.0	2.0
1113.0	5.0
1114.0	1.0
1115.0	4.0
1116.0	3.0
1117.0	3.0
1118.0	2.0
1119.0	1.0
1120.0	4.0
1121.0	2.0
1122.0	1.0
1123.0	5.0
1124.0	5.0
1125.0	1.0
1126.0	4.0
1127.0	2.0
1128.0	2.0
1129.0	4.0
1130.0	1.0
1131.0	3.0
1132.0	2.0
1133.0	7.0
1134.0	3.0
1135.0	1.0
1136.0	3.0
1137.0	8.0
1138.0	3.0
1139.0	6.0
1140.0	16.0
1141.0	4.0
1142.0	3.0
1143.0	7.0
1144.0	10.0
1145.0	11.0
1146.0	7.0
1147.0	6.0
1148.0	3.0
1149.0	3.0
1150.0	3.0
1151.0	2.0
1152.0	3.0
1153.0	4.0
1154.0	2.0
1155.0	5.0
1156.0	3.0
1157.0	6.0
1158.0	3.0
1159.0	2.0
1160.0	2.0
1161.0	2.0
1162.0	4.0
1163.0	1.0
1164.0	3.0
1165.0	8.0
1166.0	10.0
1167.0	1.0
1168.0	7.0
1169.0	4.0
1170.0	1.0
1171.0	2.0
1172.0	5.0
1173.0	4.0
1174.0	5.0
1175.0	3.0
1176.0	2.0
1177.0	4.0
1178.0	7.0
1179.0	5.0
1180.0	1.0
1181.0	10.0
1182.0	6.0
1183.0	4.0
1184.0	2.0
1185.0	9.0
1186.0	9.0
1187.0	16.0
1188.0	7.0
1189.0	8.0
1190.0	7.0
1191.0	9.0
1192.0	6.0
1193.0	4.0
1194.0	8.0
1195.0	11.0
1196.0	4.0
1197.0	3.0
1198.0	3.0
1199.0	7.0
1200.0	9.0
1201.0	7.0
1202.0	8.0
1203.0	13.0
1204.0	10.0
1205.0	12.0
1206.0	8.0
1207.0	9.0
1208.0	2.0
1209.0	10.0
1210.0	3.0
1211.0	9.0
1212.0	4.0
1213.0	6.0
1214.0	4.0
1215.0	5.0
1216.0	6.0
1217.0	6.0
1218.0	8.0
1219.0	8.0
1220.0	6.0
1221.0	8.0
1222.0	8.0
1223.0	8.0
1224.0	8.0
1225.0	5.0
1226.0	2.0
1227.0	3.0
1228.0	2.0
1229.0	6.0
1230.0	4.0
1231.0	8.0
1232.0	2.0
1233.0	3.0
1234.0	1.0
1235.0	3.0
1236.0	2.0
1237.0	7.0
1238.0	3.0
1239.0	5.0
1240.0	2.0
1241.0	4.0
1242.0	6.0
1243.0	2.0
1244.0	5.0
1245.0	3.0
1246.0	3.0
1247.0	5.0
1248.0	4.0
1249.0	4.0
1250.0	3.0
1251.0	1.0
1252.0	5.0
1253.0	6.0
1254.0	6.0
1255.0	1.0
1256.0	2.0
1257.0	4.0
1258.0	7.0
1259.0	6.0
1260.0	6.0
1261.0	6.0
1262.0	7.0
1263.0	8.0
1264.0	3.0
1265.0	6.0
1266.0	3.0
1267.0	10.0
1268.0	4.0
1269.0	4.0
1270.0	5.0
1271.0	4.0
1272.0	8.0
1273.0	8.0
1274.0	10.0
1275.0	3.0
1276.0	6.0
1277.0	5.0
1278.0	5.0
1279.0	5.0
1280.0	11.0
1281.0	2.0
1282.0	5.0
1283.0	7.0
1284.0	12.0
1285.0	10.0
1286.0	8.0
1287.0	8.0
1288.0	12.0
1289.0	9.0
1290.0	5.0
1291.0	9.0
1292.0	13.0
1293.0	8.0
1294.0	3.0
1295.0	8.0
1296.0	6.0
1297.0	9.0
1298.0	9.0
1299.0	6.0
1300.0	7.0
1301.0	5.0
1302.0	5.0
1303.0	5.0
1304.0	12.0
1305.0	8.0
1306.0	12.0
1307.0	9.0
1308.0	8.0
1309.0	6.0
1310.0	4.0
1311.0	12.0
1312.0	9.0
1313.0	13.0
1314.0	6.0
1315.0	8.0
1316.0	12.0
1317.0	14.0
1318.0	11.0
1319.0	9.0
1320.0	10.0
1321.0	8.0
1322.0	10.0
1323.0	7.0
1324.0	9.0
1325.0	9.0
1326.0	15.0
1327.0	12.0
1328.0	6.0
1329.0	11.0
1330.0	7.0
1331.0	8.0
1332.0	9.0
1333.0	5.0
1334.0	7.0
1335.0	6.0
1336.0	12.0
1337.0	11.0
1338.0	9.0
1339.0	15.0
1340.0	15.0
1341.0	12.0
1342.0	12.0
1343.0	15.0
1344.0	12.0
1345.0	10.0
1346.0	13.0
1347.0	8.0
1348.0	4.0
1349.0	6.0
1350.0	11.0
1351.0	9.0
1352.0	8.0
1353.0	12.0
1354.0	13.0
1355.0	6.0
1356.0	5.0
1357.0	10.0
1358.0	11.0
1359.0	12.0
1360.0	6.0
1361.0	7.0
1362.0	6.0
1363.0	14.0
1364.0	11.0
1365.0	9.0
1366.0	14.0
1367.0	8.0
1368.0	12.0
1369.0	11.0
1370.0	13.0
1371.0	6.0
1372.0	12.0
1373.0	12.0
1374.0	12.0
1375.0	12.0
1376.0	11.0
1377.0	6.0
1378.0	9.0
1379.0	14.0
1380.0	10.0
1381.0	6.0
1382.0	10.0
1383.0	8.0
1384.0	9.0
1385.0	7.0
1386.0	8.0
1387.0	9.0
1388.0	5.0
1389.0	10.0
1390.0	14.0
1391.0	5.0
1392.0	7.0
1393.0	9.0
1394.0	15.0
1395.0	11.0
1396.0	9.0
1397.0	14.0
1398.0	10.0
1399.0	10.0
1400.0	11.0
1401.0	14.0
1402.0	13.0
1403.0	17.0
1404.0	16.0
1405.0	13.0
1406.0	9.0
1407.0	10.0
1408.0	12.0
1409.0	11.0
1410.0	14.0
1411.0	15.0
1412.0	11.0
1413.0	14.0
1414.0	11.0
1415.0	13.0
1416.0	13.0
1417.0	15.0
1418.0	15.0
1419.0	22.0
1420.0	15.0
1421.0	9.0
1422.0	13.0
1423.0	14.0
1424.0	17.0
1425.0	10.0
1426.0	18.0
1427.0	12.0
1428.0	12.0
1429.0	8.0
1430.0	15.0
1431.0	9.0
1432.0	16.0
1433.0	12.0
1434.0	11.0
1435.0	15.0
1436.0	15.0
1437.0	17.0
1438.0	11.0
1439.0	8.0
1440.0	7.0
1441.0	5.0
1442.0	9.0
1443.0	11.0
1444.0	10.0
1445.0	14.0
1446.0	23.0
1447.0	11.0
1448.0	10.0
1449.0	17.0
1450.0	13.0
1451.0	14.0
1452.0	16.0
1453.0	9.0
1454.0	11.0
1455.0	12.0
1456.0	14.0
1457.0	12.0
1458.0	12.0
1459.0	10.0
1460.0	10.0
1461.0	15.0
1462.0	11.0
1463.0	7.0
1464.0	11.0
1465.0	10.0
1466.0	17.0
1467.0	10.0
1468.0	12.0
1469.0	12.0
1470.0	6.0
1471.0	8.0
1472.0	9.0
1473.0	14.0
1474.0	8.0
1475.0	8.0
1476.0	8.0
1477.0	10.0
1478.0	13.0
1479.0	16.0
1480.0	16.0
1481.0	15.0
1482.0	20.0
1483.0	15.0
1484.0	13.0
1485.0	19.0
1486.0	12.0
1487.0	24.0
1488.0	14.0
1489.0	21.0
1490.0	19.0
1491.0	12.0
1492.0	17.0
1493.0	12.0
1494.0	11.0
1495.0	17.0
1496.0	20.0
1497.0	23.0
1498.0	19.0
1499.0	23.0
1500.0	7.0
1501.0	14.0
1502.0	18.0
1503.0	12.0
1504.0	18.0
1505.0	17.0
1506.0	12.0
1507.0	11.0
1508.0	15.0
1509.0	10.0
1510.0	24.0
1511.0	12.0
1512.0	15.0
1513.0	22.0
1514.0	17.0
1515.0	15.0
1516.0	16.0
1517.0	13.0
1518.0	16.0
1519.0	24.0
1520.0	16.0
1521.0	25.0
1522.0	19.0
1523.0	27.0
1524.0	22.0
1525.0	21.0
1526.0	21.0
1527.0	10.0
1528.0	27.0
1529.0	17.0
1530.0	19.0
1531.0	24.0
1532.0	20.0
1533.0	22.0
1534.0	32.0
1535.0	28.0
1536.0	19.0
1537.0	19.0
1538.0	23.0
1539.0	28.0
1540.0	30.0
1541.0	20.0
1542.0	20.0
1543.0	27.0
1544.0	19.0
1545.0	14.0
1546.0	19.0
1547.0	21.0
1548.0	27.0
1549.0	26.0
1550.0	17.0
1551.0	22.0
1552.0	17.0
1553.0	22.0
1554.0	17.0
1555.0	22.0
1556.0	17.0
1557.0	22.0
1558.0	14.0
1559.0	26.0
1560.0	14.0
1561.0	25.0
1562.0	21.0
1563.0	12.0
1564.0	23.0
1565.0	15.0
1566.0	25.0
1567.0	14.0
1568.0	21.0
1569.0	17.0
1570.0	27.0
1571.0	14.0
1572.0	18.0
1573.0	23.0
1574.0	15.0
1575.0	13.0
1576.0	21.0
1577.0	17.0
1578.0	26.0
1579.0	18.0
1580.0	33.0
1581.0	20.0
1582.0	19.0
1583.0	23.0
1584.0	20.0
1585.0	15.0
1586.0	18.0
1587.0	16.0
1588.0	22.0
1589.0	23.0
1590.0	16.0
1591.0	18.0
1592.0	20.0
1593.0	17.0
1594.0	24.0
1595.0	23.0
1596.0	17.0
1597.0	23.0
1598.0	26.0
1599.0	23.0
1600.0	24.0
1601.0	15.0
1602.0	12.0
1603.0	28.0
1604.0	27.0
1605.0	24.0
1606.0	25.0
1607.0	22.0
1608.0	20.0
1609.0	27.0
1610.0	22.0
1611.0	21.0
1612.0	23.0
1613.0	24.0
1614.0	24.0
1615.0	27.0
1616.0	18.0
1617.0	29.0
1618.0	27.0
1619.0	28.0
1620.0	28.0
1621.0	26.0
1622.0	21.0
1623.0	25.0
1624.0	24.0
1625.0	30.0
1626.0	30.0
1627.0	21.0
1628.0	27.0
1629.0	28.0
1630.0	25.0
1631.0	24.0
1632.0	29.0
1633.0	28.0
1634.0	30.0
1635.0	38.0
1636.0	32.0
1637.0	34.0
1638.0	24.0
1639.0	24.0
1640.0	33.0
1641.0	30.0
1642.0	38.0
1643.0	28.0
1644.0	39.0
1645.0	20.0
1646.0	34.0
1647.0	33.0
1648.0	35.0
1649.0	44.0
1650.0	44.0
1651.0	38.0
1652.0	32.0
1653.0	30.0
1654.0	34.0
1655.0	32.0
1656.0	36.0
1657.0	23.0
1658.0	35.0
1659.0	32.0
1660.0	26.0
1661.0	21.0
1662.0	31.0
1663.0	22.0
1664.0	21.0
1665.0	28.0
1666.0	27.0
1667.0	30.0
1668.0	27.0
1669.0	27.0
1670.0	22.0
1671.0	17.0
1672.0	23.0
1673.0	24.0
1674.0	22.0
1675.0	26.0
1676.0	23.0
1677.0	29.0
1678.0	20.0
1679.0	16.0
1680.0	18.0
1681.0	24.0
1682.0	35.0
1683.0	30.0
1684.0	23.0
1685.0	21.0
1686.0	21.0
1687.0	35.0
