#Read position (bp)	Clipping profile
0.0	12.870580192346019
1.0	1.6476243142047546
2.0	1.5955751441539294
3.0	1.5320108169888491
4.0	1.4616990696808883
5.0	1.3839305157602577
6.0	1.3370120245955837
7.0	1.2844679337518823
8.0	1.2314784141945923
9.0	1.1760307880326832
10.0	1.1202532146755235
11.0	1.0774095713721976
12.0	1.037518955466367
13.0	0.999641017451567
14.0	0.9609547088084023
15.0	0.9201567381156319
16.0	0.8847534040652133
17.0	0.8504883878384103
18.0	0.8165038267275705
19.0	0.7820078474640918
20.0	0.7475118682006131
21.0	0.7169092658410948
22.0	0.6856962611703623
23.0	0.6564959343906601
24.0	0.6297537142155769
25.0	0.6033414412357446
26.0	0.5769951576949625
27.0	0.5537173830700135
28.0	0.5294497668593118
29.0	0.50985090346141
30.0	1.4417867564474982
31.0	1.2295647204621372
32.0	1.0082031471683273
33.0	0.8577472261339295
34.0	0.7556945586428349
35.0	1.0320748267447277
36.0	0.9635777890106467
37.0	0.8694273568458104
38.0	0.7661868794518125
39.0	0.7265107292228952
40.0	0.7917082950044676
41.0	0.8197538066007917
42.0	0.7089905331550739
43.0	0.6904145060624498
44.0	0.6059810187977516
45.0	0.6665263291262866
46.0	0.6741646066963443
47.0	0.6440074330504146
48.0	0.5458316451035177
49.0	0.5311654922746164
50.0	0.5708086477840086
51.0	0.9060185007991322
52.0	0.5446108404810894
53.0	0.5022621179706399
54.0	0.48561628197023343
55.0	0.5211680922585149
56.0	0.5375994625820083
57.0	0.5307365609207902
58.0	0.5148661008292232
59.0	0.48744748890387585
60.0	0.4868535839524243
61.0	0.5131833701334438
62.0	0.5268266866570674
63.0	0.5500219744832037
64.0	0.5378964150577341
65.0	0.5210691080999397
66.0	0.5675916626303126
67.0	0.5458316451035177
68.0	0.5409649239735673
69.0	0.5518036893375584
70.0	0.562988899256563
71.0	0.5831981649656789
72.0	0.5965775237331017
73.0	0.617281710235094
74.0	0.6398171036707285
75.0	0.6687864674137551
76.0	0.694093417289497
77.0	0.7207036585864799
78.0	0.7482377520301651
79.0	0.7783289362370446
80.0	0.8087830623587
81.0	0.8409529138956602
82.0	0.8744260568538611
83.0	0.9095819305078415
84.0	0.9422632001974404
85.0	0.9739711256610492
86.0	1.0095724280286182
87.0	1.0451737303961874
88.0	1.0805935618063685
89.0	1.1163433404118006
90.0	1.1543202625851758
91.0	1.2021626058965524
92.0	1.249312060097902
93.0	1.2948117783229973
94.0	1.338810236809701
95.0	1.3807960174053744
96.0	1.445185212558582
97.0	1.5027774954896218
98.0	1.5551401153759352
99.0	1.596828943495883
100.0	1.6158668966618581
