#Mapping quality	mapping quality
0.0	781901.0
1.0	6621.0
2.0	5146.0
3.0	7131.0
4.0	6047.0
5.0	4754.0
6.0	4938.0
7.0	4458.0
8.0	4237.0
9.0	6921.0
10.0	4533.0
11.0	3337.0
12.0	3320.0
13.0	4645.0
14.0	3532.0
15.0	3714.0
16.0	3623.0
17.0	1865.0
18.0	2459.0
19.0	2365.0
20.0	4580.0
21.0	4086.0
22.0	3544.0
23.0	3810.0
24.0	4552.0
25.0	6633.0
26.0	1546.0
27.0	47747.0
28.0	1526.0
29.0	1111.0
30.0	4226.0
31.0	1851.0
32.0	1412.0
33.0	3539.0
34.0	1406.0
35.0	962.0
36.0	1231.0
37.0	1408.0
38.0	1644.0
39.0	5909.0
40.0	33840.0
41.0	1853.0
42.0	3593.0
43.0	2698.0
44.0	2121.0
45.0	5961.0
46.0	2912.0
47.0	3870.0
48.0	6099.0
49.0	3648.0
50.0	40318.0
51.0	2469.0
52.0	3767.0
53.0	1897.0
54.0	2269.0
55.0	8805.0
56.0	1518.0
57.0	7973.0
58.0	1595.0
59.0	2950.0
60.0	719125.0
