#Coverage (X)	Coverage
1.0	3.1925643050979744
2.0	0.6737022356794711
3.0	0.2636416780495239
4.0	0.20538926850375105
5.0	0.18052377346762682
6.0	0.16030854875511125
7.0	0.1451995374745536
8.0	0.13228639012967847
9.0	0.12129134827515031
10.0	0.11066839792285066
11.0	0.10188144836322977
12.0	0.09324647983972056
13.0	0.084882282127694
14.0	0.07751207533006266
15.0	0.07108519910146072
16.0	0.06565930142110687
17.0	0.060212440839222836
18.0	0.05609672450474079
19.0	0.05265182101933874
20.0	0.04977990350919015
21.0	0.04729055895204226
22.0	0.045520940680887634
23.0	0.04395221688277218
24.0	0.04251625812770499
25.0	0.04134757636718689
26.0	0.04040773961507682
27.0	0.03948886576451116
28.0	0.03871847913313786
29.0	0.03791140742407606
30.0	0.03721963167345166
31.0	0.03631123927364399
32.0	0.0353312236269403
33.0	0.03418001095103307
34.0	0.03308644625434454
35.0	0.03188981395845758
36.0	0.030577885704133223
37.0	0.029227525463653592
38.0	0.027823011060888803
39.0	0.026404521390432478
40.0	0.024951093550754422
41.0	0.023501159527995696
42.0	0.0220180342444678
43.0	0.020306063952531872
44.0	0.018574877667518308
45.0	0.016951999707103482
46.0	0.015442670796659286
47.0	0.013957798604678828
48.0	0.012551537293447268
49.0	0.011286775567569407
50.0	0.010111106173212647
51.0	0.00897386876499695
