#Read position (bp)	Clipping profile
0.0	11.53144154370034
1.0	1.740295119182747
2.0	1.6812712826333711
3.0	1.6140749148694664
4.0	1.5264472190692395
5.0	1.432917139614075
6.0	1.3893303064699205
7.0	1.3452894438138479
8.0	1.2980703745743474
9.0	1.2340522133938705
10.0	1.163677639046538
11.0	1.1196367763904653
12.0	1.0833144154370034
13.0	1.0419977298524403
14.0	0.9965947786606131
15.0	0.9493757094211124
16.0	0.913961407491487
17.0	0.8785471055618616
18.0	0.8454029511918275
19.0	0.804994324631101
20.0	0.7664018161180477
21.0	0.7328036322360953
22.0	0.6987514188422248
23.0	0.676049943246311
24.0	0.6497162315550511
25.0	0.6242905788876276
26.0	0.5975028376844496
27.0	0.5725312145289443
28.0	0.5475595913734392
29.0	0.5257661748013621
30.0	1.094211123723042
31.0	1.2358683314415437
32.0	1.0056753688989784
33.0	0.8953461975028377
34.0	0.6769580022701476
35.0	1.0238365493757093
36.0	1.0515323496027242
37.0	1.041089670828604
38.0	0.7418842224744608
39.0	0.6801362088535755
40.0	0.6946651532349603
41.0	0.7232690124858115
42.0	0.8172531214528945
43.0	0.6551645856980703
44.0	0.5861520998864926
45.0	0.7863791146424517
46.0	0.552099886492622
47.0	0.48717366628830877
48.0	0.43041997729852444
49.0	0.583427922814983
50.0	0.5916004540295119
51.0	0.6547105561861521
52.0	0.704199772985244
53.0	0.4454029511918275
54.0	0.4522133938706016
55.0	0.500794551645857
56.0	0.4985244040862656
57.0	0.5284903518728717
58.0	0.39954597048808177
59.0	0.49807037457434733
60.0	0.5135073779795687
61.0	0.4985244040862656
62.0	0.5185017026106696
63.0	0.5198637911464246
64.0	0.5203178206583428
65.0	0.5525539160045403
66.0	0.5316685584562997
67.0	0.5275822928490351
68.0	0.5412031782065835
69.0	0.5434733257661748
70.0	0.5580022701475595
71.0	0.5911464245175937
72.0	0.5979568671963678
73.0	0.6211123723041998
74.0	0.65788876276958
75.0	0.6819523269012486
76.0	0.7073779795686719
77.0	0.7595913734392735
78.0	0.7695800227014756
79.0	0.8059023836549375
80.0	0.8481271282633371
81.0	0.8749148694665153
82.0	0.9185017026106697
83.0	0.9598183881952327
84.0	1.004767309875142
85.0	1.0656072644721908
86.0	1.1037457434733258
87.0	1.1509648127128265
88.0	1.1886492622020433
89.0	1.234506242905789
90.0	1.2808172531214528
91.0	1.335300794551646
92.0	1.388876276958002
93.0	1.451078320090806
94.0	1.5046538024971623
95.0	1.598183881952327
96.0	1.687627695800227
97.0	1.7484676503972758
98.0	1.8006810442678773
99.0	1.8188422247446083
