#Mapping quality	mapping quality
0.0	721933.0
1.0	6718.0
2.0	5093.0
3.0	6293.0
4.0	4803.0
5.0	5549.0
6.0	4642.0
7.0	4570.0
8.0	4141.0
9.0	5604.0
10.0	4476.0
11.0	3153.0
12.0	2960.0
13.0	3763.0
14.0	2789.0
15.0	4509.0
16.0	2531.0
17.0	2470.0
18.0	2985.0
19.0	2584.0
20.0	4368.0
21.0	4843.0
22.0	3434.0
23.0	2921.0
24.0	5619.0
25.0	8063.0
26.0	1093.0
27.0	40690.0
28.0	1752.0
29.0	1304.0
30.0	3559.0
31.0	1794.0
32.0	1281.0
33.0	4183.0
34.0	1422.0
35.0	1129.0
36.0	2044.0
37.0	1238.0
38.0	1269.0
39.0	4903.0
40.0	35715.0
41.0	1688.0
42.0	3456.0
43.0	3391.0
44.0	3244.0
45.0	4782.0
46.0	3081.0
47.0	5015.0
48.0	6872.0
49.0	8127.0
50.0	39333.0
51.0	2844.0
52.0	3379.0
53.0	2545.0
54.0	2487.0
55.0	8270.0
56.0	1727.0
57.0	8841.0
58.0	1914.0
59.0	3166.0
60.0	707381.0
