#Coverage (X)	Coverage
1.0	3.0671048332345237
2.0	0.7078700182712652
3.0	0.26949032757748625
4.0	0.21394213232957782
5.0	0.18587804790107043
6.0	0.16808403831571184
7.0	0.15262739225138944
8.0	0.14083051941318558
9.0	0.13048882132312656
10.0	0.12061354779220324
11.0	0.11177419097874974
12.0	0.10310777810293814
13.0	0.09547728194459637
14.0	0.08822062419694987
15.0	0.08136750230382006
16.0	0.07511881073826032
17.0	0.06969465996635904
18.0	0.06474916211281823
19.0	0.06013557686689808
20.0	0.055972694003955326
21.0	0.05260290758238284
22.0	0.050031458327552514
23.0	0.04813431573873572
24.0	0.0462860865868322
25.0	0.04459857301336001
26.0	0.043036836849083215
27.0	0.04162184099554622
28.0	0.040516047939632927
29.0	0.03946615595447156
30.0	0.0383795788916359
31.0	0.03731221782186367
32.0	0.03617323350519541
33.0	0.03501328628698275
34.0	0.03386556742799485
35.0	0.03257634898365325
36.0	0.03127315527163432
37.0	0.02999965900345103
38.0	0.02870869365065687
39.0	0.02725002508559271
40.0	0.025681301287477254
41.0	0.024161490926275064
42.0	0.022694087818905473
43.0	0.021128857837709347
44.0	0.01958284384959086
45.0	0.01786563283226883
46.0	0.01631437811876424
47.0	0.014843481194475316
48.0	0.013615404546285959
49.0	0.012436241335009868
50.0	0.011384602441395941
51.0	0.010509401302357446
