#Read position (bp)	Clipping profile
0.0	9.94757204013895
1.0	1.8051363084017846
2.0	1.750174974558914
3.0	1.6758912967869088
4.0	1.6003194627529618
5.0	1.5217419307744826
6.0	1.468927524034849
7.0	1.41697188813651
8.0	1.3598636271904025
9.0	1.3027553662442946
10.0	1.2443589490362446
11.0	1.1915445422966109
12.0	1.152470469017695
13.0	1.1116788540561895
14.0	1.0592938327372032
15.0	1.0069088114182172
16.0	0.9601058005676476
17.0	0.9236080398126161
18.0	0.8858221227956425
19.0	0.8510419037232009
20.0	0.8141147575475223
21.0	0.7806226947370228
22.0	0.7544301840775298
23.0	0.730384600521274
24.0	0.7050508607030757
25.0	0.6767114229403455
26.0	0.6513776831221473
27.0	0.6247557870420067
28.0	0.5929812659140972
29.0	0.5689356823578412
30.0	1.4852441700194512
31.0	1.0030443426323903
32.0	0.8763756435413992
33.0	0.9077207792486613
34.0	0.7252319754735048
35.0	0.969552279821891
36.0	0.8810988831685209
37.0	0.9313369773842698
38.0	0.7102034857508448
39.0	0.5569128905797133
40.0	0.8415954244689575
41.0	0.8772344143826941
42.0	0.6973219231314219
43.0	0.6565303081699164
44.0	0.5444607133809378
45.0	0.5324379216028099
46.0	0.5912637242315074
47.0	0.5491839530080596
48.0	0.5672181406752516
49.0	0.4117806184008828
50.0	0.5010927858955477
51.0	0.6071509847954623
52.0	0.499375244212958
53.0	0.535443619547342
54.0	0.46717133766440094
55.0	0.42637972270289537
56.0	0.4504253062591512
57.0	0.49636954626842605
58.0	0.47661781691864435
59.0	0.5320085361821625
60.0	0.4611599417753369
61.0	0.46416563971986896
62.0	0.4809116711251186
63.0	0.5530484217938865
64.0	0.45471916046562555
65.0	0.5217032860866242
66.0	0.5135449630943231
67.0	0.5629242864687772
68.0	0.5345848487060471
69.0	0.5831054012392064
70.0	0.5719413803023732
71.0	0.5929812659140972
72.0	0.6311965683517182
73.0	0.638066735082077
74.0	0.6745644958371083
75.0	0.6994688502346591
76.0	0.7269495171560945
77.0	0.7685999029588949
78.0	0.7982274969835674
79.0	0.833007716056009
80.0	0.8686467059697455
81.0	0.9094383209312511
82.0	0.9528062484166412
83.0	0.977710602814192
84.0	1.0210785302995822
85.0	1.0657346140469146
86.0	1.1215547187310801
87.0	1.1657814170577652
88.0	1.21172565706704
89.0	1.2598168241795518
90.0	1.3276597206418452
91.0	1.3839092107466584
92.0	1.4350060758037022
93.0	1.4878204825433359
94.0	1.5337647225526103
95.0	1.6123422545310895
96.0	1.6874847031443894
97.0	1.768638547646753
98.0	1.8373402149503417
99.0	1.8635327256098349
