#GC Content (%)	Sample	HUMAN (hg38)
1.0	0.0	0.0
2.0	0.0	1.0E-6
3.0	0.0	4.0E-6
4.0	0.0	8.0E-6
5.0	0.0	9.0E-6
6.0	0.0	1.1000000000000001E-5
7.0	0.0	9.999999999999999E-6
8.0	0.0	8.999999999999999E-6
9.0	0.0	1.5E-5
10.0	0.0	1.4E-5
11.0	0.0	1.9E-5
12.0	0.0	1.8E-5
13.0	0.0	2.2E-5
14.0	0.0	2.7E-5
15.0	0.0	2.4E-5
16.0	0.0	2.9E-5
17.0	0.0	3.1E-5
18.0	0.0	2.9E-5
19.0	0.0	5.2E-5
20.0	0.0	5.2000000000000004E-5
21.0	0.0	7.9E-5
22.0	0.0	8.9E-5
23.0	0.0	1.49E-4
24.0	0.0	3.14E-4
25.0	2.4307243558580456E-4	7.250000000000001E-4
26.0	7.292173067574136E-4	0.0016470000000000002
27.0	4.861448711716091E-4	0.0033309999999999993
28.0	0.0019445794846864365	0.0060810000000000005
29.0	0.002187651920272241	0.010195
30.0	0.0036460865337870677	0.015575000000000002
31.0	0.006319883325230919	0.021823000000000002
32.0	0.011424404472532814	0.028458
33.0	0.01968886728245017	0.034777999999999996
34.0	0.03524550315994167	0.04072200000000001
35.0	0.04059309674282937	0.046733
36.0	0.05566358774914924	0.052521
37.0	0.06635877491492465	0.058068999999999996
38.0	0.07535245503159943	0.062401
39.0	0.08313077297034518	0.066379
40.0	0.07851239669421488	0.062808
41.0	0.08094312105007291	0.055982000000000004
42.0	0.07559552746718522	0.051072
43.0	0.06125425376762275	0.047385000000000004
44.0	0.05347593582887701	0.043885999999999994
45.0	0.04472532814778804	0.040056
46.0	0.04083616917841517	0.036389
47.0	0.03330092367525522	0.031823000000000004
48.0	0.029168692270296552	0.027807000000000002
49.0	0.02430724355858046	0.024214
50.0	0.020661157024793392	0.020522000000000002
51.0	0.015799708313077296	0.017317
52.0	0.009236752552260573	0.014202
53.0	0.00583373845405931	0.011892
54.0	0.005833738454059309	0.009919
55.0	0.003889158969372873	0.008364
56.0	0.003159941662615459	0.007255999999999999
57.0	0.0024307243558580457	0.006077
58.0	0.0012153621779290229	0.0052759999999999994
59.0	0.0019445794846864367	0.004577
60.0	9.722897423432182E-4	0.003935
61.0	7.292173067574136E-4	0.0033960000000000006
62.0	4.861448711716091E-4	0.002891
63.0	2.4307243558580456E-4	0.002476
64.0	2.4307243558580456E-4	0.0020139999999999997
65.0	2.4307243558580456E-4	0.0016830000000000003
66.0	2.4307243558580456E-4	0.0013750000000000001
67.0	2.4307243558580456E-4	0.001061
68.0	7.292173067574136E-4	8.219999999999999E-4
69.0	0.0	6.300000000000001E-4
70.0	2.4307243558580456E-4	5.039999999999999E-4
71.0	2.4307243558580456E-4	4.1E-4
72.0	0.0	3.3099999999999997E-4
73.0	0.0	2.5900000000000006E-4
74.0	0.0	2.26E-4
75.0	0.0	1.9000000000000004E-4
76.0	0.0	1.53E-4
77.0	0.0	1.18E-4
78.0	0.0	8.5E-5
79.0	0.0	4.800000000000001E-5
80.0	0.0	3.9000000000000006E-5
81.0	0.0	3.3E-5
82.0	0.0	2.1000000000000002E-5
83.0	0.0	6.999999999999999E-6
84.0	0.0	4.9999999999999996E-6
85.0	0.0	0.0
86.0	0.0	0.0
87.0	0.0	0.0
88.0	0.0	0.0
89.0	0.0	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	0.0	0.0
93.0	0.0	0.0
94.0	0.0	0.0
95.0	0.0	0.0
96.0	0.0	0.0
97.0	0.0	0.0
98.0	0.0	0.0
99.0	0.0	0.0
100.0	2.4307243558580456E-4	0.0
