#Coverage	Number of genomic locations
0.0	5.5488251E7
1.0	1350520.0
2.0	250946.0
3.0	31798.0
4.0	16065.0
5.0	10186.0
6.0	8848.0
7.0	6753.0
8.0	5920.0
9.0	5653.0
10.0	5060.0
11.0	4961.0
12.0	4368.0
13.0	4154.0
14.0	3923.0
15.0	3577.0
16.0	3105.0
17.0	2831.0
18.0	2641.0
19.0	2383.0
20.0	1929.0
21.0	1472.0
22.0	1086.0
23.0	1058.0
24.0	966.0
25.0	894.0
26.0	810.0
27.0	633.0
28.0	601.0
29.0	622.0
30.0	611.0
31.0	652.0
32.0	664.0
33.0	657.0
34.0	738.0
35.0	746.0
36.0	729.0
37.0	739.0
38.0	835.0
39.0	898.0
40.0	870.0
41.0	840.0
42.0	896.0
43.0	885.0
44.0	983.0
45.0	888.0
46.0	842.0
47.0	703.0
48.0	675.0
49.0	602.0
50.0	501.0
51.0	460.0
52.0	473.0
53.0	451.0
54.0	430.0
55.0	395.0
56.0	381.0
57.0	301.0
58.0	222.0
59.0	213.0
60.0	206.0
61.0	141.0
62.0	160.0
63.0	152.0
64.0	135.0
65.0	149.0
66.0	100.0
67.0	101.0
68.0	84.0
69.0	67.0
70.0	47.0
71.0	43.0
72.0	31.0
73.0	26.0
74.0	24.0
75.0	30.0
76.0	39.0
77.0	26.0
78.0	15.0
79.0	20.0
80.0	9.0
81.0	8.0
82.0	10.0
83.0	11.0
84.0	9.0
85.0	11.0
86.0	10.0
87.0	15.0
88.0	18.0
89.0	12.0
90.0	23.0
91.0	28.0
92.0	20.0
93.0	14.0
94.0	17.0
95.0	14.0
96.0	16.0
97.0	17.0
98.0	16.0
99.0	20.0
100.0	16.0
101.0	18.0
102.0	19.0
103.0	19.0
104.0	21.0
105.0	24.0
106.0	21.0
107.0	20.0
108.0	19.0
109.0	22.0
110.0	31.0
111.0	33.0
112.0	23.0
113.0	23.0
114.0	16.0
115.0	15.0
116.0	13.0
117.0	15.0
118.0	13.0
119.0	6.0
120.0	12.0
121.0	10.0
122.0	12.0
123.0	19.0
124.0	11.0
125.0	9.0
126.0	4.0
127.0	7.0
128.0	3.0
129.0	4.0
130.0	2.0
131.0	3.0
132.0	4.0
133.0	2.0
134.0	8.0
135.0	4.0
136.0	10.0
137.0	5.0
138.0	4.0
139.0	6.0
140.0	3.0
141.0	8.0
142.0	4.0
143.0	10.0
144.0	3.0
145.0	1.0
146.0	3.0
147.0	1.0
148.0	3.0
149.0	2.0
150.0	3.0
151.0	1.0
152.0	1.0
153.0	2.0
154.0	3.0
155.0	5.0
156.0	2.0
157.0	2.0
158.0	10.0
159.0	8.0
160.0	9.0
161.0	2.0
162.0	2.0
163.0	3.0
164.0	2.0
165.0	2.0
167.0	1.0
168.0	1.0
169.0	3.0
170.0	1.0
171.0	2.0
172.0	1.0
173.0	4.0
174.0	3.0
175.0	5.0
176.0	4.0
177.0	5.0
178.0	2.0
179.0	4.0
180.0	2.0
181.0	3.0
183.0	4.0
184.0	2.0
185.0	5.0
186.0	6.0
187.0	8.0
188.0	2.0
189.0	4.0
190.0	1.0
191.0	2.0
202.0	1.0
209.0	1.0
217.0	1.0
227.0	1.0
231.0	1.0
238.0	1.0
260.0	1.0
264.0	1.0
277.0	1.0
280.0	1.0
286.0	1.0
302.0	1.0
308.0	1.0
321.0	1.0
324.0	1.0
331.0	2.0
343.0	1.0
352.0	1.0
355.0	1.0
357.0	1.0
360.0	1.0
365.0	1.0
367.0	1.0
372.0	1.0
379.0	1.0
384.0	1.0
388.0	1.0
394.0	2.0
399.0	1.0
407.0	1.0
408.0	1.0
409.0	1.0
415.0	1.0
416.0	1.0
418.0	1.0
422.0	2.0
425.0	1.0
427.0	1.0
429.0	1.0
430.0	4.0
431.0	4.0
432.0	3.0
433.0	6.0
434.0	1.0
436.0	2.0
437.0	2.0
440.0	2.0
441.0	1.0
442.0	1.0
443.0	1.0
444.0	2.0
445.0	1.0
446.0	2.0
447.0	1.0
448.0	2.0
449.0	2.0
451.0	1.0
452.0	2.0
453.0	3.0
454.0	1.0
455.0	1.0
456.0	1.0
457.0	3.0
458.0	2.0
459.0	1.0
460.0	2.0
461.0	1.0
464.0	2.0
465.0	1.0
